t;Ep;Ec;Em;
0;104;0;104;
0.003;104;0.00108;104;
0.006;104;0.00433;104;
0.009;104;0.00975;104;
0.012;104;0.0173;104;
0.015;104;0.0271;104;
0.018;104;0.039;104;
0.021;104;0.0531;104;
0.024;104;0.0694;104;
0.027;104;0.0878;104;
0.03;104;0.108;104;
0.033;104;0.131;104;
0.036;104;0.156;104;
0.039;104;0.184;104;
0.042;104;0.213;104;
0.045;104;0.245;104;
0.048;104;0.279;104;
0.051;104;0.315;104;
0.054;104;0.353;104;
0.057;104;0.394;104;
0.06;104;0.437;104;
0.063;104;0.482;104;
0.066;104;0.529;104;
0.069;103;0.579;104;
0.072;103;0.631;104;
0.075;103;0.686;104;
0.078;103;0.742;104;
0.081;103;0.802;104;
0.084;103;0.863;104;
0.087;103;0.927;104;
0.09;103;0.993;104;
0.093;103;1.06;104;
0.096;103;1.13;104;
0.099;103;1.21;104;
0.102;103;1.28;104;
0.105;103;1.36;104;
0.108;103;1.44;104;
0.111;103;1.53;104;
0.114;102;1.61;104;
0.117;102;1.7;104;
0.12;102;1.79;104;
0.123;102;1.89;104;
0.126;102;1.98;104;
0.129;102;2.08;104;
0.132;102;2.19;104;
0.135;102;2.29;104;
0.138;102;2.4;104;
0.141;102;2.51;104;
0.144;101;2.62;104;
0.147;101;2.74;104;
0.15;101;2.86;104;
0.153;101;2.98;104;
0.156;101;3.11;104;
0.159;101;3.23;104;
0.162;101;3.37;104;
0.165;101;3.5;104;
0.168;100;3.64;104;
0.171;100;3.78;104;
0.174;100;3.92;104;
0.177;100;4.07;104;
0.18;99.8;4.22;104;
0.183;99.7;4.37;104;
0.186;99.5;4.53;104;
0.189;99.4;4.69;104;
0.192;99.2;4.86;104;
0.195;99;5.02;104;
0.198;98.9;5.19;104;
0.201;98.7;5.37;104;
0.204;98.5;5.55;104;
0.207;98.3;5.73;104;
0.21;98.1;5.91;104;
0.213;97.9;6.1;104;
0.216;97.8;6.3;104;
0.219;97.6;6.49;104;
0.222;97.4;6.7;104;
0.225;97.2;6.9;104;
0.228;96.9;7.11;104;
0.231;96.7;7.32;104;
0.234;96.5;7.54;104;
0.237;96.3;7.76;104;
0.24;96.1;7.98;104;
0.243;95.8;8.21;104;
0.246;95.6;8.45;104;
0.249;95.4;8.68;104;
0.252;95.1;8.93;104;
0.255;94.9;9.17;104;
0.258;94.6;9.42;104;
0.261;94.4;9.68;104;
0.264;94.1;9.94;104;
0.267;93.9;10.2;104;
0.27;93.6;10.5;104;
0.273;93.3;10.7;104;
0.276;93;11;104;
0.279;92.8;11.3;104;
0.282;92.5;11.6;104;
0.285;92.2;11.9;104;
0.288;91.9;12.2;104;
0.291;91.6;12.5;104;
0.294;91.3;12.8;104;
0.297;91;13.1;104;
0.3;90.7;13.4;104;
0.303;90.3;13.7;104;
0.306;90;14;104;
0.309;89.7;14.4;104;
0.312;89.4;14.7;104;
0.315;89;15;104;
0.318;88.7;15.4;104;
0.321;88.3;15.7;104;
0.324;88;16.1;104;
0.327;87.6;16.4;104;
0.33;87.3;16.8;104;
0.333;86.9;17.1;104;
0.336;86.5;17.5;104;
0.339;86.2;17.9;104;
0.342;85.8;18.3;104;
0.345;85.4;18.6;104;
0.348;85;19;104;
0.351;84.6;19.4;104;
0.354;84.2;19.8;104;
0.357;83.8;20.2;104;
0.36;83.4;20.6;104;
0.363;83;21;104;
0.366;82.6;21.4;104;
0.369;82.2;21.9;104;
0.372;81.8;22.3;104;
0.375;81.3;22.7;104;
0.378;80.9;23.1;104;
0.381;80.5;23.6;104;
0.384;80;24;104;
0.387;79.6;24.5;104;
0.39;79.1;24.9;104;
0.393;78.7;25.4;104;
0.396;78.2;25.8;104;
0.399;77.7;26.3;104;
0.402;77.3;26.8;104;
0.405;76.8;27.2;104;
0.408;76.3;27.7;104;
0.411;75.8;28.2;104;
0.414;75.4;28.7;104;
0.417;74.9;29.2;104;
0.42;74.4;29.7;104;
0.423;73.9;30.2;104;
0.426;73.4;30.7;104;
0.429;72.9;31.2;104;
0.432;72.3;31.7;104;
0.435;71.8;32.2;104;
0.438;71.3;32.8;104;
0.441;70.8;33.3;104;
0.444;70.2;33.8;104;
0.447;69.7;34.3;104;
0.45;69.2;34.9;104;
0.453;68.6;35.4;104;
0.456;68.1;36;104;
0.459;67.5;36.5;104;
0.462;67;37.1;104;
0.465;66.4;37.7;104;
0.468;65.8;38.2;104;
0.471;65.3;38.8;104;
0.474;64.7;39.4;104;
0.477;64.1;39.9;104;
0.48;63.5;40.5;104;
0.483;62.9;41.1;104;
0.486;62.3;41.7;104;
0.489;61.8;42.3;104;
0.492;61.2;42.9;104;
0.495;60.5;43.5;104;
0.498;59.9;44.1;104;
0.501;59.3;44.7;104;
0.504;58.7;45.3;104;
0.507;58.1;46;104;
0.51;57.5;46.6;104;
0.513;56.8;47.2;104;
0.516;56.2;47.8;104;
0.519;55.6;48.5;104;
0.522;54.9;49.1;104;
0.525;54.3;49.8;104;
0.528;53.6;50.4;104;
0.531;53;51.1;104;
0.534;52.3;51.7;104;
0.537;51.7;52.4;104;
0.54;51;53;104;
0.543;50.4;53.7;104;
0.546;49.7;54.4;104;
0.549;49;55;104;
0.552;48.3;55.7;104;
0.555;47.7;56.4;104;
0.558;47;57.1;104;
0.561;46.3;57.8;104;
0.564;45.6;58.5;104;
0.567;44.9;59.2;104;
0.57;44.2;59.9;104;
0.573;43.5;60.6;104;
0.576;42.8;61.3;104;
0.579;42.1;62;104;
0.582;41.4;62.7;104;
0.585;40.6;63.4;104;
0.588;39.9;64.1;104;
0.591;39.2;64.8;104;
0.594;38.5;65.6;104;
0.597;37.7;66.3;104;
0.6;37;67;104;
0.603;36.3;67.8;104;
0.606;35.5;68.5;104;
0.609;34.8;69.3;104;
0.612;34;70;104;
0.615;33.3;70.8;104;
0.618;32.5;71.5;104;
0.621;31.8;72.3;104;
0.624;31;73;104;
0.627;30.3;73.8;104;
0.63;29.5;74.6;104;
0.633;28.7;75.3;104;
0.636;28;76.1;104;
0.639;27.2;76.9;104;
0.642;26.4;77.7;104;
0.645;25.6;78.4;104;
0.648;24.8;79.2;104;
0.651;24;80;104;
0.654;23.3;80.8;104;
0.657;22.5;81.6;104;
0.66;21.7;82.4;104;
0.663;20.9;83.2;104;
0.666;20.1;84;104;
0.669;19.3;84.8;104;
0.672;18.4;85.6;104;
0.675;17.6;86.4;104;
0.678;16.8;87.2;104;
0.681;16;88;104;
0.684;15.2;88.9;104;
0.687;14.4;89.7;104;
0.69;13.5;90.5;104;
0.693;12.7;91.3;104;
0.696;11.9;92.2;104;
0.699;11;93;104;
0.702;10.2;93.8;104;
0.705;9.37;94.7;104;
0.708;8.53;95.5;104;
0.711;7.68;96.4;104;
0.714;6.84;97.2;104;
0.717;5.99;98.1;104;
0.72;5.14;98.9;104;
0.723;4.29;99.8;104;
0.726;3.43;101;104;
0.729;2.57;101;104;
0.732;1.71;102;104;
0.735;0.85;103;104;
0.738;-0.0148;104;104;
0.741;-0.882;105;104;
0.744;-1.75;106;104;
0.747;-2.62;107;104;
0.75;-3.5;108;104;
0.753;-4.37;108;104;
