t;x0;y0;x1;y1;
0;1.22e-16;1;0.426;0.738;
0.01;0.000127;1;0.426;0.737;
0.02;0.00051;1;0.425;0.736;
0.03;0.00115;1;0.425;0.734;
0.04;0.00206;1;0.424;0.731;
0.05;0.00324;1;0.423;0.728;
0.06;0.00472;1;0.421;0.723;
0.07;0.00649;1;0.419;0.718;
0.08;0.00859;1;0.417;0.712;
0.09;0.011;1;0.415;0.705;
0.1;0.0138;1;0.412;0.698;
0.11;0.017;1;0.409;0.689;
0.12;0.0206;1;0.405;0.681;
0.13;0.0247;1;0.402;0.671;
0.14;0.0292;1;0.397;0.661;
0.15;0.0343;0.999;0.392;0.65;
0.16;0.0399;0.999;0.387;0.639;
0.17;0.0461;0.999;0.381;0.628;
0.18;0.0529;0.999;0.375;0.616;
0.19;0.0604;0.998;0.367;0.604;
0.2;0.0686;0.998;0.36;0.591;
0.21;0.0775;0.997;0.352;0.579;
0.22;0.0873;0.996;0.343;0.566;
0.23;0.0979;0.995;0.333;0.554;
0.24;0.109;0.994;0.323;0.542;
0.25;0.122;0.993;0.312;0.53;
0.26;0.135;0.991;0.3;0.519;
0.27;0.149;0.989;0.288;0.509;
0.28;0.164;0.986;0.276;0.499;
0.29;0.18;0.984;0.262;0.491;
0.3;0.197;0.98;0.249;0.483;
0.31;0.214;0.977;0.235;0.477;
0.32;0.233;0.973;0.221;0.473;
0.33;0.252;0.968;0.208;0.47;
0.34;0.271;0.963;0.194;0.469;
0.35;0.291;0.957;0.181;0.469;
0.36;0.312;0.95;0.168;0.471;
0.37;0.332;0.943;0.157;0.475;
0.38;0.353;0.936;0.146;0.48;
0.39;0.374;0.928;0.136;0.487;
0.4;0.394;0.919;0.128;0.496;
0.41;0.414;0.91;0.121;0.505;
0.42;0.434;0.901;0.116;0.516;
0.43;0.454;0.891;0.111;0.527;
0.44;0.474;0.881;0.109;0.539;
0.45;0.493;0.87;0.108;0.551;
0.46;0.511;0.859;0.108;0.564;
0.47;0.529;0.848;0.11;0.576;
0.48;0.547;0.837;0.113;0.589;
0.49;0.565;0.825;0.118;0.601;
0.5;0.582;0.814;0.123;0.613;
0.51;0.598;0.801;0.13;0.625;
0.52;0.615;0.789;0.139;0.636;
0.53;0.631;0.776;0.148;0.646;
0.54;0.647;0.763;0.158;0.656;
0.55;0.662;0.749;0.169;0.665;
0.56;0.678;0.735;0.182;0.673;
0.57;0.693;0.721;0.194;0.68;
0.58;0.708;0.706;0.208;0.686;
0.59;0.723;0.691;0.223;0.691;
0.6;0.737;0.676;0.238;0.696;
0.61;0.752;0.659;0.253;0.699;
0.62;0.766;0.643;0.27;0.701;
0.63;0.78;0.625;0.286;0.703;
0.64;0.794;0.607;0.304;0.703;
0.65;0.808;0.589;0.321;0.702;
0.66;0.822;0.569;0.34;0.7;
0.67;0.836;0.549;0.358;0.697;
0.68;0.849;0.528;0.377;0.693;
0.69;0.862;0.507;0.396;0.688;
0.7;0.875;0.484;0.416;0.681;
0.71;0.888;0.461;0.436;0.674;
0.72;0.9;0.436;0.456;0.666;
0.73;0.912;0.411;0.476;0.656;
0.74;0.923;0.385;0.496;0.645;
0.75;0.934;0.357;0.517;0.633;
0.76;0.944;0.329;0.538;0.621;
0.77;0.954;0.3;0.559;0.607;
0.78;0.963;0.27;0.58;0.591;
0.79;0.971;0.238;0.602;0.575;
0.8;0.979;0.206;0.623;0.558;
0.81;0.985;0.173;0.645;0.539;
0.82;0.99;0.139;0.667;0.52;
0.83;0.995;0.103;0.689;0.499;
0.84;0.998;0.0674;0.711;0.477;
0.85;1;0.0305;0.733;0.454;
0.86;1;-0.00707;0.756;0.429;
0.87;0.999;-0.0453;0.778;0.403;
0.88;0.996;-0.0841;0.801;0.376;
0.89;0.992;-0.123;0.824;0.348;
0.9;0.987;-0.163;0.847;0.317;
0.91;0.979;-0.202;0.871;0.286;
0.92;0.97;-0.242;0.894;0.252;
0.93;0.96;-0.281;0.918;0.217;
0.94;0.947;-0.32;0.942;0.18;
0.95;0.934;-0.358;0.966;0.141;
0.96;0.918;-0.396;0.989;0.0992;
0.97;0.902;-0.432;1.01;0.0554;
0.98;0.884;-0.467;1.04;0.0091;
0.99;0.865;-0.501;1.06;-0.0398;
1;0.846;-0.533;1.08;-0.0915;
1.01;0.826;-0.563;1.1;-0.146;
1.02;0.806;-0.592;1.12;-0.203;
1.03;0.786;-0.618;1.14;-0.264;
1.04;0.767;-0.642;1.16;-0.327;
1.05;0.748;-0.663;1.17;-0.393;
1.06;0.731;-0.683;1.18;-0.462;
1.07;0.715;-0.699;1.19;-0.534;
1.08;0.701;-0.713;1.19;-0.609;
