t;Ep;Ec;Em;
0;8.52;0;8.52;
0.01;8.52;0.00202;8.52;
0.02;8.52;0.00808;8.52;
0.03;8.51;0.0182;8.52;
0.04;8.49;0.0323;8.52;
0.05;8.47;0.0503;8.52;
0.06;8.45;0.0723;8.52;
0.07;8.43;0.0981;8.52;
0.08;8.4;0.128;8.52;
0.09;8.36;0.161;8.52;
0.1;8.33;0.198;8.52;
0.11;8.29;0.238;8.52;
0.12;8.24;0.282;8.52;
0.13;8.2;0.329;8.52;
0.14;8.15;0.379;8.52;
0.15;8.09;0.432;8.52;
0.16;8.04;0.488;8.52;
0.17;7.98;0.546;8.52;
0.18;7.92;0.606;8.52;
0.19;7.86;0.668;8.52;
0.2;7.79;0.731;8.52;
0.21;7.73;0.795;8.52;
0.22;7.66;0.861;8.52;
0.23;7.6;0.926;8.52;
0.24;7.53;0.991;8.52;
0.25;7.47;1.06;8.52;
0.26;7.41;1.12;8.52;
0.27;7.34;1.18;8.52;
0.28;7.29;1.24;8.52;
0.29;7.23;1.29;8.52;
0.3;7.18;1.35;8.52;
0.31;7.13;1.39;8.52;
0.32;7.09;1.44;8.52;
0.33;7.05;1.47;8.52;
0.34;7.02;1.51;8.52;
0.35;6.99;1.53;8.52;
0.36;6.97;1.55;8.52;
0.37;6.96;1.57;8.52;
0.38;6.95;1.58;8.52;
0.39;6.94;1.58;8.52;
0.4;6.94;1.58;8.52;
0.41;6.94;1.58;8.52;
0.42;6.95;1.58;8.52;
0.43;6.95;1.57;8.52;
0.44;6.96;1.56;8.52;
0.45;6.97;1.55;8.52;
0.46;6.98;1.54;8.52;
0.47;6.99;1.54;8.52;
0.48;6.99;1.53;8.52;
0.49;7;1.53;8.52;
0.5;7;1.53;8.52;
0.51;6.99;1.53;8.52;
0.52;6.99;1.54;8.52;
0.53;6.98;1.55;8.52;
0.54;6.96;1.57;8.52;
0.55;6.94;1.59;8.52;
0.56;6.91;1.62;8.52;
0.57;6.87;1.65;8.52;
0.58;6.83;1.69;8.52;
0.59;6.78;1.74;8.52;
0.6;6.73;1.8;8.52;
0.61;6.66;1.86;8.52;
0.62;6.59;1.93;8.52;
0.63;6.51;2.01;8.52;
0.64;6.43;2.1;8.52;
