theta0;omega0;theta1;omega1;
3.14;0;1.02;0;
3.14;-0.0254;1.02;-0.194;
3.14;-0.0511;1.02;-0.388;
3.14;-0.0774;1.01;-0.582;
3.14;-0.104;1;-0.776;
3.14;-0.133;0.995;-0.971;
3.14;-0.162;0.984;-1.17;
3.14;-0.193;0.971;-1.36;
3.13;-0.226;0.957;-1.56;
3.13;-0.261;0.94;-1.76;
3.13;-0.299;0.922;-1.96;
3.12;-0.339;0.901;-2.16;
3.12;-0.383;0.878;-2.37;
3.12;-0.429;0.854;-2.57;
3.11;-0.479;0.827;-2.78;
3.11;-0.532;0.798;-2.99;
3.1;-0.59;0.767;-3.2;
3.1;-0.651;0.734;-3.42;
3.09;-0.716;0.699;-3.63;
3.08;-0.786;0.661;-3.85;
3.07;-0.86;0.622;-4.07;
3.06;-0.938;0.58;-4.29;
3.05;-1.02;0.536;-4.52;
3.04;-1.11;0.49;-4.74;
3.03;-1.19;0.441;-4.97;
3.02;-1.29;0.39;-5.19;
3.01;-1.38;0.337;-5.41;
2.99;-1.47;0.282;-5.62;
2.98;-1.57;0.225;-5.82;
2.96;-1.66;0.166;-6.02;
2.94;-1.75;0.105;-6.2;
2.93;-1.84;0.0417;-6.36;
2.91;-1.92;-0.0226;-6.5;
2.89;-1.99;-0.0882;-6.62;
2.87;-2.06;-0.155;-6.71;
2.85;-2.11;-0.222;-6.78;
2.82;-2.16;-0.29;-6.81;
2.8;-2.19;-0.358;-6.81;
2.78;-2.21;-0.426;-6.78;
2.76;-2.22;-0.494;-6.73;
2.74;-2.23;-0.561;-6.65;
2.71;-2.22;-0.627;-6.55;
2.69;-2.21;-0.692;-6.43;
2.67;-2.2;-0.755;-6.29;
2.65;-2.18;-0.818;-6.15;
2.63;-2.16;-0.878;-6;
2.61;-2.14;-0.938;-5.84;
2.58;-2.12;-0.995;-5.68;
2.56;-2.1;-1.05;-5.52;
2.54;-2.09;-1.11;-5.36;
2.52;-2.07;-1.16;-5.21;
2.5;-2.06;-1.21;-5.05;
2.48;-2.06;-1.26;-4.91;
2.46;-2.06;-1.31;-4.77;
2.44;-2.06;-1.35;-4.63;
2.42;-2.07;-1.4;-4.5;
2.4;-2.08;-1.44;-4.38;
2.38;-2.09;-1.49;-4.26;
2.36;-2.11;-1.53;-4.15;
2.33;-2.13;-1.57;-4.05;
2.31;-2.16;-1.61;-3.96;
2.29;-2.19;-1.65;-3.87;
2.27;-2.23;-1.69;-3.8;
2.25;-2.26;-1.73;-3.73;
2.22;-2.31;-1.76;-3.67;
2.2;-2.35;-1.8;-3.62;
2.18;-2.4;-1.84;-3.58;
2.15;-2.45;-1.87;-3.55;
2.13;-2.51;-1.91;-3.52;
2.1;-2.57;-1.94;-3.51;
2.08;-2.63;-1.98;-3.51;
2.05;-2.69;-2.01;-3.52;
2.02;-2.76;-2.05;-3.55;
1.99;-2.83;-2.08;-3.58;
1.97;-2.9;-2.12;-3.63;
1.94;-2.97;-2.16;-3.68;
1.91;-3.04;-2.19;-3.76;
1.88;-3.12;-2.23;-3.84;
1.84;-3.2;-2.27;-3.94;
1.81;-3.27;-2.31;-4.05;
1.78;-3.35;-2.35;-4.18;
1.74;-3.43;-2.39;-4.32;
1.71;-3.51;-2.44;-4.48;
1.67;-3.58;-2.48;-4.65;
1.64;-3.66;-2.53;-4.83;
1.6;-3.73;-2.58;-5.03;
1.56;-3.79;-2.63;-5.24;
1.53;-3.86;-2.68;-5.47;
1.49;-3.92;-2.74;-5.71;
1.45;-3.97;-2.8;-5.96;
1.41;-4.01;-2.86;-6.22;
1.37;-4.04;-2.92;-6.49;
1.33;-4.07;-2.99;-6.78;
1.29;-4.08;-3.06;-7.07;
1.24;-4.07;-3.13;-7.37;
1.2;-4.06;3.08;-7.68;
1.16;-4.02;3;-7.99;
1.12;-3.97;2.92;-8.31;
1.08;-3.9;2.83;-8.64;
1.05;-3.8;2.74;-8.97;
1.01;-3.69;2.65;-9.31;
0.972;-3.55;2.56;-9.66;
0.938;-3.39;2.46;-10;
0.905;-3.2;2.36;-10.4;
0.874;-2.98;2.25;-10.8;
0.845;-2.73;2.14;-11.2;
0.819;-2.46;2.03;-11.7;
0.796;-2.15;1.91;-12.2;
0.777;-1.8;1.78;-12.8;
0.76;-1.42;1.65;-13.5;
0.748;-0.997;1.51;-14.3;
0.741;-0.543;1.36;-15.2;
0.737;-0.0817;1.21;-16.2;
0.739;0.329;1.04;-17.1;
0.744;0.582;0.866;-17.8;
0.749;0.565;0.687;-17.9;
0.754;0.257;0.51;-17.4;
0.754;-0.247;0.341;-16.5;
0.749;-0.832;0.181;-15.5;
0.737;-1.42;0.0302;-14.6;
0.72;-1.99;-0.111;-13.7;
0.698;-2.52;-0.244;-12.9;
0.67;-3.01;-0.37;-12.2;
0.637;-3.47;-0.488;-11.5;
0.601;-3.88;-0.6;-10.8;
0.56;-4.25;-0.705;-10.2;
0.516;-4.57;-0.803;-9.47;
0.469;-4.86;-0.894;-8.75;
0.419;-5.11;-0.978;-8.01;
0.367;-5.33;-1.05;-7.24;
0.312;-5.5;-1.12;-6.43;
0.257;-5.65;-1.18;-5.6;
0.2;-5.76;-1.23;-4.74;
0.141;-5.86;-1.28;-3.86;
0.0824;-5.94;-1.31;-2.96;
0.0227;-6;-1.34;-2.04;
-0.0376;-6.06;-1.35;-1.12;
-0.0984;-6.12;-1.36;-0.179;
-0.16;-6.19;-1.36;0.771;
-0.222;-6.27;-1.34;1.74;
-0.285;-6.37;-1.32;2.73;
-0.35;-6.5;-1.29;3.76;
-0.416;-6.67;-1.25;4.83;
-0.483;-6.88;-1.19;5.95;
-0.553;-7.13;-1.13;7.12;
-0.626;-7.4;-1.05;8.26;
-0.701;-7.63;-0.962;9.25;
-0.778;-7.75;-0.866;9.85;
-0.856;-7.68;-0.767;9.85;
-0.931;-7.42;-0.671;9.27;
-1;-7.06;-0.583;8.36;
-1.07;-6.68;-0.504;7.35;
-1.14;-6.33;-0.436;6.36;
-1.2;-6.02;-0.377;5.46;
-1.26;-5.74;-0.326;4.65;
-1.31;-5.51;-0.283;3.92;
-1.37;-5.31;-0.247;3.27;
-1.42;-5.13;-0.218;2.67;
-1.47;-4.98;-0.194;2.13;
-1.52;-4.84;-0.175;1.63;
-1.57;-4.71;-0.161;1.17;
-1.61;-4.6;-0.152;0.736;
-1.66;-4.49;-0.146;0.336;
-1.7;-4.39;-0.145;-0.0369;
-1.75;-4.3;-0.147;-0.384;
-1.79;-4.2;-0.152;-0.706;
-1.83;-4.11;-0.161;-1.01;
-1.87;-4.02;-0.172;-1.28;
-1.91;-3.93;-0.186;-1.53;
-1.95;-3.84;-0.203;-1.76;
-1.99;-3.76;-0.222;-1.97;
-2.03;-3.67;-0.242;-2.16;
-2.06;-3.57;-0.265;-2.33;
-2.1;-3.48;-0.289;-2.48;
-2.13;-3.39;-0.314;-2.6;
-2.17;-3.3;-0.341;-2.71;
-2.2;-3.21;-0.368;-2.8;
-2.23;-3.11;-0.397;-2.87;
-2.26;-3.02;-0.426;-2.93;
-2.29;-2.93;-0.455;-2.96;
-2.32;-2.83;-0.485;-2.99;
-2.35;-2.74;-0.515;-3;
-2.37;-2.65;-0.545;-2.99;
-2.4;-2.56;-0.575;-2.97;
-2.42;-2.47;-0.604;-2.94;
-2.45;-2.38;-0.634;-2.9;
-2.47;-2.3;-0.662;-2.85;
-2.5;-2.22;-0.69;-2.78;
-2.52;-2.14;-0.718;-2.71;
-2.54;-2.06;-0.745;-2.63;
-2.56;-1.98;-0.77;-2.54;
-2.58;-1.91;-0.795;-2.45;
-2.6;-1.84;-0.819;-2.35;
-2.61;-1.77;-0.842;-2.24;
-2.63;-1.7;-0.864;-2.12;
-2.65;-1.64;-0.885;-2;
-2.66;-1.58;-0.904;-1.88;
-2.68;-1.52;-0.922;-1.75;
