t;Ep;Ec;Em;
0;-11.8;0;-11.8;
0.001;-11.8;3.21e-05;-11.8;
0.002;-11.8;0.000128;-11.8;
0.003;-11.8;0.000289;-11.8;
0.004;-11.8;0.000513;-11.8;
0.005;-11.8;0.000802;-11.8;
0.006;-11.8;0.00115;-11.8;
0.007;-11.8;0.00157;-11.8;
0.008;-11.8;0.00205;-11.8;
0.009;-11.8;0.0026;-11.8;
0.01;-11.8;0.00321;-11.8;
0.011;-11.8;0.00388;-11.8;
0.012;-11.8;0.00462;-11.8;
0.013;-11.8;0.00542;-11.8;
0.014;-11.8;0.00628;-11.8;
0.015;-11.8;0.00721;-11.8;
0.016;-11.8;0.00821;-11.8;
0.017;-11.9;0.00926;-11.8;
0.018;-11.9;0.0104;-11.8;
0.019;-11.9;0.0116;-11.8;
0.02;-11.9;0.0128;-11.8;
0.021;-11.9;0.0141;-11.8;
0.022;-11.9;0.0155;-11.8;
0.023;-11.9;0.0169;-11.8;
0.024;-11.9;0.0185;-11.8;
0.025;-11.9;0.02;-11.8;
0.026;-11.9;0.0216;-11.8;
0.027;-11.9;0.0233;-11.8;
0.028;-11.9;0.0251;-11.8;
0.029;-11.9;0.0269;-11.8;
0.03;-11.9;0.0288;-11.8;
0.031;-11.9;0.0308;-11.8;
0.032;-11.9;0.0328;-11.8;
0.033;-11.9;0.0348;-11.8;
0.034;-11.9;0.037;-11.8;
0.035;-11.9;0.0392;-11.8;
0.036;-11.9;0.0414;-11.8;
0.037;-11.9;0.0438;-11.8;
0.038;-11.9;0.0462;-11.8;
0.039;-11.9;0.0486;-11.8;
0.04;-11.9;0.0511;-11.8;
0.041;-11.9;0.0537;-11.8;
0.042;-11.9;0.0563;-11.8;
0.043;-11.9;0.059;-11.8;
0.044;-11.9;0.0618;-11.8;
0.045;-11.9;0.0646;-11.8;
0.046;-11.9;0.0675;-11.8;
0.047;-11.9;0.0705;-11.8;
0.048;-11.9;0.0735;-11.8;
0.049;-11.9;0.0766;-11.8;
0.05;-11.9;0.0797;-11.8;
0.051;-11.9;0.0829;-11.8;
0.052;-11.9;0.0862;-11.8;
0.053;-11.9;0.0895;-11.8;
0.054;-11.9;0.0929;-11.8;
0.055;-11.9;0.0963;-11.8;
0.056;-11.9;0.0998;-11.8;
0.057;-11.9;0.103;-11.8;
0.058;-11.9;0.107;-11.8;
0.059;-12;0.111;-11.8;
0.06;-12;0.114;-11.8;
0.061;-12;0.118;-11.8;
0.062;-12;0.122;-11.8;
0.063;-12;0.126;-11.8;
0.064;-12;0.13;-11.8;
0.065;-12;0.134;-11.8;
0.066;-12;0.138;-11.8;
0.067;-12;0.142;-11.8;
0.068;-12;0.147;-11.8;
0.069;-12;0.151;-11.8;
0.07;-12;0.155;-11.8;
0.071;-12;0.16;-11.8;
0.072;-12;0.164;-11.8;
0.073;-12;0.169;-11.8;
0.074;-12;0.173;-11.8;
0.075;-12;0.178;-11.8;
0.076;-12;0.183;-11.8;
0.077;-12;0.187;-11.8;
0.078;-12;0.192;-11.8;
0.079;-12;0.197;-11.8;
0.08;-12;0.202;-11.8;
0.081;-12;0.207;-11.8;
0.082;-12.1;0.212;-11.8;
0.083;-12.1;0.217;-11.8;
0.084;-12.1;0.222;-11.8;
0.085;-12.1;0.228;-11.8;
0.086;-12.1;0.233;-11.8;
0.087;-12.1;0.238;-11.8;
0.088;-12.1;0.244;-11.8;
0.089;-12.1;0.249;-11.8;
0.09;-12.1;0.255;-11.8;
0.091;-12.1;0.26;-11.8;
0.092;-12.1;0.266;-11.8;
0.093;-12.1;0.271;-11.8;
0.094;-12.1;0.277;-11.8;
0.095;-12.1;0.283;-11.8;
0.096;-12.1;0.289;-11.8;
0.097;-12.1;0.295;-11.8;
0.098;-12.1;0.301;-11.8;
0.099;-12.1;0.307;-11.8;
0.1;-12.2;0.313;-11.8;
0.101;-12.2;0.319;-11.8;
0.102;-12.2;0.325;-11.8;
0.103;-12.2;0.331;-11.8;
0.104;-12.2;0.337;-11.8;
0.105;-12.2;0.344;-11.8;
0.106;-12.2;0.35;-11.8;
0.107;-12.2;0.357;-11.8;
0.108;-12.2;0.363;-11.8;
0.109;-12.2;0.37;-11.8;
0.11;-12.2;0.376;-11.8;
0.111;-12.2;0.383;-11.8;
0.112;-12.2;0.39;-11.8;
0.113;-12.2;0.396;-11.8;
0.114;-12.2;0.403;-11.8;
0.115;-12.3;0.41;-11.8;
0.116;-12.3;0.417;-11.8;
0.117;-12.3;0.424;-11.8;
0.118;-12.3;0.431;-11.8;
0.119;-12.3;0.438;-11.8;
0.12;-12.3;0.445;-11.8;
0.121;-12.3;0.452;-11.8;
0.122;-12.3;0.459;-11.8;
0.123;-12.3;0.466;-11.8;
0.124;-12.3;0.474;-11.8;
0.125;-12.3;0.481;-11.8;
0.126;-12.3;0.488;-11.8;
0.127;-12.3;0.496;-11.8;
0.128;-12.3;0.503;-11.8;
0.129;-12.4;0.511;-11.8;
0.13;-12.4;0.518;-11.8;
0.131;-12.4;0.526;-11.8;
0.132;-12.4;0.534;-11.8;
0.133;-12.4;0.541;-11.8;
0.134;-12.4;0.549;-11.8;
0.135;-12.4;0.557;-11.8;
0.136;-12.4;0.565;-11.8;
0.137;-12.4;0.572;-11.8;
0.138;-12.4;0.58;-11.8;
0.139;-12.4;0.588;-11.8;
0.14;-12.4;0.596;-11.8;
0.141;-12.4;0.604;-11.8;
0.142;-12.5;0.612;-11.8;
0.143;-12.5;0.62;-11.8;
0.144;-12.5;0.629;-11.8;
0.145;-12.5;0.637;-11.8;
0.146;-12.5;0.645;-11.8;
0.147;-12.5;0.653;-11.8;
0.148;-12.5;0.662;-11.8;
0.149;-12.5;0.67;-11.8;
0.15;-12.5;0.678;-11.8;
0.151;-12.5;0.687;-11.8;
0.152;-12.5;0.695;-11.8;
0.153;-12.5;0.704;-11.8;
0.154;-12.6;0.712;-11.8;
0.155;-12.6;0.721;-11.8;
0.156;-12.6;0.73;-11.8;
0.157;-12.6;0.738;-11.8;
0.158;-12.6;0.747;-11.8;
0.159;-12.6;0.756;-11.8;
0.16;-12.6;0.764;-11.8;
0.161;-12.6;0.773;-11.8;
0.162;-12.6;0.782;-11.8;
0.163;-12.6;0.791;-11.8;
0.164;-12.6;0.8;-11.8;
0.165;-12.7;0.808;-11.8;
0.166;-12.7;0.817;-11.8;
0.167;-12.7;0.826;-11.8;
0.168;-12.7;0.835;-11.8;
0.169;-12.7;0.844;-11.8;
0.17;-12.7;0.853;-11.8;
0.171;-12.7;0.863;-11.8;
0.172;-12.7;0.872;-11.8;
0.173;-12.7;0.881;-11.8;
0.174;-12.7;0.89;-11.8;
0.175;-12.7;0.899;-11.8;
0.176;-12.8;0.908;-11.8;
0.177;-12.8;0.918;-11.8;
0.178;-12.8;0.927;-11.8;
0.179;-12.8;0.936;-11.8;
0.18;-12.8;0.945;-11.8;
0.181;-12.8;0.955;-11.8;
0.182;-12.8;0.964;-11.8;
0.183;-12.8;0.973;-11.8;
0.184;-12.8;0.983;-11.8;
0.185;-12.8;0.992;-11.8;
0.186;-12.8;1;-11.8;
0.187;-12.9;1.01;-11.8;
0.188;-12.9;1.02;-11.8;
0.189;-12.9;1.03;-11.8;
0.19;-12.9;1.04;-11.8;
0.191;-12.9;1.05;-11.8;
0.192;-12.9;1.06;-11.8;
0.193;-12.9;1.07;-11.8;
0.194;-12.9;1.08;-11.8;
