theta0;omega0;theta1;omega1;
2.36;0;0;0;
2.36;-0.00925;-6.54e-06;-0.0131;
2.36;-0.0185;-2.62e-05;-0.0262;
2.36;-0.0277;-5.89e-05;-0.0392;
2.36;-0.037;-0.000105;-0.0523;
2.36;-0.0462;-0.000163;-0.0654;
2.36;-0.0555;-0.000235;-0.0785;
2.36;-0.0647;-0.00032;-0.0915;
2.36;-0.074;-0.000419;-0.105;
2.36;-0.0832;-0.00053;-0.118;
2.36;-0.0925;-0.000654;-0.131;
2.36;-0.102;-0.000791;-0.144;
2.36;-0.111;-0.000941;-0.157;
2.36;-0.12;-0.0011;-0.17;
2.36;-0.13;-0.00128;-0.183;
2.36;-0.139;-0.00147;-0.196;
2.36;-0.148;-0.00167;-0.209;
2.35;-0.157;-0.00189;-0.222;
2.35;-0.167;-0.00212;-0.235;
2.35;-0.176;-0.00236;-0.248;
2.35;-0.185;-0.00261;-0.261;
2.35;-0.194;-0.00288;-0.274;
2.35;-0.204;-0.00316;-0.287;
2.35;-0.213;-0.00346;-0.3;
2.35;-0.222;-0.00376;-0.313;
2.35;-0.231;-0.00408;-0.326;
2.35;-0.241;-0.00441;-0.339;
2.35;-0.25;-0.00476;-0.352;
2.35;-0.259;-0.00512;-0.365;
2.35;-0.269;-0.00549;-0.378;
2.35;-0.278;-0.00587;-0.391;
2.35;-0.287;-0.00627;-0.404;
2.35;-0.296;-0.00668;-0.417;
2.35;-0.306;-0.0071;-0.43;
2.35;-0.315;-0.00754;-0.442;
2.35;-0.324;-0.00799;-0.455;
2.35;-0.334;-0.00845;-0.468;
2.35;-0.343;-0.00893;-0.481;
2.35;-0.352;-0.00941;-0.494;
2.35;-0.361;-0.00991;-0.507;
2.35;-0.371;-0.0104;-0.519;
2.35;-0.38;-0.011;-0.532;
2.35;-0.389;-0.0115;-0.545;
2.35;-0.399;-0.012;-0.558;
2.35;-0.408;-0.0126;-0.571;
2.35;-0.417;-0.0132;-0.583;
2.35;-0.427;-0.0138;-0.596;
2.35;-0.436;-0.0144;-0.609;
2.35;-0.445;-0.015;-0.621;
2.35;-0.455;-0.0156;-0.634;
2.34;-0.464;-0.0163;-0.647;
2.34;-0.473;-0.0169;-0.659;
2.34;-0.483;-0.0176;-0.672;
2.34;-0.492;-0.0183;-0.685;
2.34;-0.501;-0.0189;-0.697;
2.34;-0.511;-0.0197;-0.71;
2.34;-0.52;-0.0204;-0.722;
2.34;-0.529;-0.0211;-0.735;
2.34;-0.539;-0.0218;-0.747;
2.34;-0.548;-0.0226;-0.76;
2.34;-0.557;-0.0234;-0.772;
2.34;-0.567;-0.0241;-0.785;
2.34;-0.576;-0.0249;-0.797;
2.34;-0.586;-0.0257;-0.809;
2.34;-0.595;-0.0265;-0.822;
2.34;-0.604;-0.0274;-0.834;
2.34;-0.614;-0.0282;-0.846;
2.34;-0.623;-0.0291;-0.859;
2.33;-0.633;-0.0299;-0.871;
2.33;-0.642;-0.0308;-0.883;
2.33;-0.651;-0.0317;-0.896;
2.33;-0.661;-0.0326;-0.908;
2.33;-0.67;-0.0335;-0.92;
2.33;-0.68;-0.0344;-0.932;
2.33;-0.689;-0.0354;-0.944;
2.33;-0.698;-0.0363;-0.956;
2.33;-0.708;-0.0373;-0.968;
2.33;-0.717;-0.0383;-0.98;
2.33;-0.727;-0.0392;-0.992;
2.33;-0.736;-0.0402;-1;
2.33;-0.746;-0.0413;-1.02;
2.33;-0.755;-0.0423;-1.03;
2.32;-0.765;-0.0433;-1.04;
2.32;-0.774;-0.0444;-1.05;
2.32;-0.784;-0.0454;-1.06;
2.32;-0.793;-0.0465;-1.08;
2.32;-0.802;-0.0476;-1.09;
2.32;-0.812;-0.0487;-1.1;
2.32;-0.821;-0.0498;-1.11;
2.32;-0.831;-0.0509;-1.12;
2.32;-0.84;-0.052;-1.13;
2.32;-0.85;-0.0532;-1.15;
2.32;-0.859;-0.0543;-1.16;
2.32;-0.869;-0.0555;-1.17;
2.32;-0.878;-0.0566;-1.18;
2.31;-0.888;-0.0578;-1.19;
2.31;-0.898;-0.059;-1.2;
2.31;-0.907;-0.0602;-1.21;
2.31;-0.917;-0.0615;-1.23;
2.31;-0.926;-0.0627;-1.24;
2.31;-0.936;-0.0639;-1.25;
2.31;-0.945;-0.0652;-1.26;
2.31;-0.955;-0.0664;-1.27;
2.31;-0.964;-0.0677;-1.28;
2.31;-0.974;-0.069;-1.29;
2.3;-0.984;-0.0703;-1.3;
2.3;-0.993;-0.0716;-1.32;
2.3;-1;-0.0729;-1.33;
2.3;-1.01;-0.0743;-1.34;
2.3;-1.02;-0.0756;-1.35;
2.3;-1.03;-0.077;-1.36;
2.3;-1.04;-0.0783;-1.37;
2.3;-1.05;-0.0797;-1.38;
2.3;-1.06;-0.0811;-1.39;
2.3;-1.07;-0.0825;-1.4;
2.29;-1.08;-0.0839;-1.41;
2.29;-1.09;-0.0853;-1.42;
2.29;-1.1;-0.0868;-1.43;
2.29;-1.11;-0.0882;-1.44;
2.29;-1.12;-0.0896;-1.46;
2.29;-1.13;-0.0911;-1.47;
2.29;-1.14;-0.0926;-1.48;
2.29;-1.15;-0.0941;-1.49;
2.29;-1.16;-0.0955;-1.5;
2.28;-1.17;-0.097;-1.51;
2.28;-1.18;-0.0986;-1.52;
2.28;-1.19;-0.1;-1.53;
2.28;-1.2;-0.102;-1.54;
2.28;-1.2;-0.103;-1.55;
2.28;-1.21;-0.105;-1.56;
2.28;-1.22;-0.106;-1.57;
2.28;-1.23;-0.108;-1.58;
2.27;-1.24;-0.109;-1.59;
2.27;-1.25;-0.111;-1.6;
2.27;-1.26;-0.113;-1.61;
2.27;-1.27;-0.114;-1.62;
2.27;-1.28;-0.116;-1.63;
2.27;-1.29;-0.117;-1.64;
2.27;-1.3;-0.119;-1.65;
2.27;-1.31;-0.121;-1.65;
2.26;-1.32;-0.122;-1.66;
2.26;-1.33;-0.124;-1.67;
2.26;-1.34;-0.126;-1.68;
2.26;-1.35;-0.127;-1.69;
2.26;-1.36;-0.129;-1.7;
2.26;-1.37;-0.131;-1.71;
2.26;-1.38;-0.133;-1.72;
2.26;-1.39;-0.134;-1.73;
2.25;-1.4;-0.136;-1.74;
2.25;-1.41;-0.138;-1.75;
2.25;-1.42;-0.14;-1.76;
2.25;-1.43;-0.141;-1.76;
2.25;-1.44;-0.143;-1.77;
2.25;-1.45;-0.145;-1.78;
2.25;-1.46;-0.147;-1.79;
2.24;-1.47;-0.148;-1.8;
2.24;-1.48;-0.15;-1.81;
2.24;-1.49;-0.152;-1.82;
2.24;-1.5;-0.154;-1.82;
2.24;-1.51;-0.156;-1.83;
2.24;-1.52;-0.158;-1.84;
2.23;-1.53;-0.159;-1.85;
2.23;-1.54;-0.161;-1.86;
2.23;-1.55;-0.163;-1.86;
2.23;-1.56;-0.165;-1.87;
2.23;-1.57;-0.167;-1.88;
2.23;-1.58;-0.169;-1.89;
2.23;-1.59;-0.171;-1.9;
2.22;-1.59;-0.172;-1.9;
2.22;-1.6;-0.174;-1.91;
2.22;-1.61;-0.176;-1.92;
2.22;-1.62;-0.178;-1.93;
2.22;-1.63;-0.18;-1.93;
2.22;-1.64;-0.182;-1.94;
2.21;-1.65;-0.184;-1.95;
2.21;-1.66;-0.186;-1.95;
2.21;-1.67;-0.188;-1.96;
2.21;-1.68;-0.19;-1.97;
2.21;-1.69;-0.192;-1.97;
2.21;-1.7;-0.194;-1.98;
2.2;-1.71;-0.196;-1.99;
2.2;-1.72;-0.198;-1.99;
2.2;-1.73;-0.2;-2;
2.2;-1.74;-0.202;-2.01;
2.2;-1.75;-0.204;-2.01;
2.2;-1.76;-0.206;-2.02;
2.19;-1.77;-0.208;-2.03;
2.19;-1.78;-0.21;-2.03;
2.19;-1.79;-0.212;-2.04;
2.19;-1.8;-0.214;-2.05;
2.19;-1.81;-0.216;-2.05;
2.18;-1.82;-0.218;-2.06;
2.18;-1.83;-0.22;-2.06;
2.18;-1.84;-0.222;-2.07;
2.18;-1.85;-0.224;-2.07;
2.18;-1.86;-0.226;-2.08;
2.18;-1.87;-0.228;-2.08;
2.17;-1.88;-0.231;-2.09;
2.17;-1.89;-0.233;-2.1;
2.17;-1.9;-0.235;-2.1;
2.17;-1.91;-0.237;-2.11;
